date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:22	12080/12080	---M--	200	added ('OK')	text/html	etag:%222f30-56b9a72b2a840%22	http://www.math.iitb.ac.in/~assoc/index.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/index.html	(from )
11:13:23	224/224	---M--	302	error ('Found')	text/html	date:Sat,%2014%20Jul%202018%2005:46:09%20GMT	http://www.math.iitb.ac.in/robots.txt		(from )
11:13:24	393/393	---M--	200	added ('OK')	image/png	etag:%22189-51379b9feb000%22	http://www.math.iitb.ac.in/~assoc/assets/images/gt_favicon.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/images/gt_favicon.png	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:24	98453/98453	---M--	200	added ('OK')	text/css	etag:%2218095-4ee822793cf00%22	http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/css/bootstrap.min.css	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:26	28747/28747	---M--	200	added ('OK')	text/css	etag:%22704b-5127938de7880%22	http://www.math.iitb.ac.in/~assoc/assets/css/font-awesome.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/css/font-awesome.css	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:28	68796/68796	---M--	200	added ('OK')	text/css	etag:%2210cbc-513b3c2cf6a00%22	http://www.math.iitb.ac.in/~assoc/assets/css/animate.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/css/animate.css	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:30	4909/4909	---M--	200	added ('OK')	text/css	etag:%22132d-4f1b6ea4b7c00%22	http://www.math.iitb.ac.in/~assoc/assets/css/bootstrap-theme.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/css/bootstrap-theme.css	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:30	4435/4435	---M--	200	added ('OK')	text/css	etag:%221153-52e312193c8b5%22	http://www.math.iitb.ac.in/~assoc/assets/css/main.css	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/css/main.css	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:31	19633/19633	---M--	200	added ('OK')	text/html	etag:%224cb1-56bb2eb626c40%22	http://www.math.iitb.ac.in/~assoc/office18-19.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/office18-19.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:32	19600/19600	---M--	200	added ('OK')	text/html	etag:%224c90-56b9aa00e9880%22	http://www.math.iitb.ac.in/~assoc/office17-18.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/office17-18.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:34	18963/18963	---M--	200	added ('OK')	text/html	etag:%224a13-56b9aaa121280%22	http://www.math.iitb.ac.in/~assoc/office16-17.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/office16-17.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:35	75205/75205	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Jul%202018%2005:46:17%20GMT	http://www.math.iitb.ac.in/~assoc/mo/	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/index.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:36	38689/38689	---M--	200	added ('OK')	image/png	etag:%229721-51379eeaf7500%22	http://www.math.iitb.ac.in/~assoc/assets/images/logo.png	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/assets/images/logo.png	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:36	15795/15795	---M--	200	added ('OK')	text/html	etag:%223db3-56b9aa6da1900%22	http://www.math.iitb.ac.in/~assoc/office15-16.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/office15-16.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:37	7701/7701	---M--	200	added ('OK')	text/html	etag:%221e15-56b9abe931880%22	http://www.math.iitb.ac.in/~assoc/placements.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/placements.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:38	8464/8464	---M--	200	added ('OK')	text/html	etag:%222110-56b9a90800d40%22	http://www.math.iitb.ac.in/~assoc/contact.html	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/contact.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:38	10181/10181	---M--	200	added ('OK')	text/html	etag:%2227c5-5323134ab9680%22	http://www.math.iitb.ac.in/~assoc/obscure/	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/obscure/index.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
11:13:40	10071/10071	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Jul%202018%2005:46:24%20GMT	http://www.math.iitb.ac.in/~assoc/elections/	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/elections/index.html	(from http://www.math.iitb.ac.in/~assoc/index.html)
